hagrid,imr,mrdt,tmax,size_sample,quality,origin,biblioid,phenotype
2090,NULL,NULL,3.3,small,acceptable,captivity,671,NULL
2091,NULL,NULL,7.4,small,acceptable,captivity,671,These animals are known to live 6 years in the wild [0542]. One specimen lived 7.4 years in captivity [0671].
2092,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, though they have been reported to live for 3 years [0522]. More detailed studies are necessary."
2093,NULL,NULL,8,small,acceptable,captivity,671,NULL
2094,NULL,NULL,6.2,small,acceptable,captivity,671,"In the wild, these animals live on average 2 years and a maximum of 5 years. One specimen in captivity lived for 6.2 years [0671]."
2095,NULL,NULL,5.9,small,acceptable,captivity,671,"This species can exhibit semelparity. In tropical savannah, males die off after mating and exhibit weight loss, fur loss, parasite infestation, increased testosterone levels and anaemia, though not increased corticosteroid levels [0781]. One captive specimen lived 5.9 years [0671]."
2096,NULL,NULL,6.8,small,acceptable,captivity,671,"Females over 3 years of age produce no litters but males over 5 years old can still be fertile. Although these animals reach sexual maturity in about one year, they do not become fully grown until about two years of age [0509]. In the wild, these animals do not typically live more than 3 years. One animal lived 6.8 years in captivity [0671]."
2097,NULL,NULL,6.8,small,acceptable,captivity,671,NULL
2098,NULL,NULL,NULL,small,low,unknown,NULL,"These animals are expected to live 2 years in the wild. The lack of detailed longevity studies, however, means maximum longevity is unknown."
2099,NULL,NULL,NULL,small,low,unknown,NULL,"These animals are expected to live 2 years in the wild. The lack of detailed longevity studies, however, means maximum longevity is unknown."
2100,NULL,NULL,5.5,small,acceptable,captivity,671,These animals are expected to live more than 3 years in the wild [0542]. One specimen lived 5.5 years in captivity [0671].
2101,NULL,NULL,4.7,medium,acceptable,captivity,671,One female was at least 4.7 years old when it escaped to the wild [0671].
2102,NULL,NULL,5.9,small,acceptable,captivity,671,Males are only reproductively viable for one breeding season. Females in the wild can breed for a second year. One captive specimen was at least 5.9 years old when it died [0671].
2103,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals. They have been reported to live up to 5 years [0522], which is plausible but unverified."
2104,NULL,NULL,NULL,tiny,low,unknown,NULL,"One of the smallest mammals in the world, these animals appear to live up to 1.3 years in the wild. Their maximum longevity is unknown."
2105,NULL,NULL,5.8,small,acceptable,captivity,671,NULL
2106,NULL,NULL,5.2,small,acceptable,captivity,671,NULL
2107,NULL,NULL,NULL,small,low,unknown,NULL,"These animals are expected to live more than 3 years in the wild [0542]. The lack of detailed longevity studies, however, means maximum longevity is unknown."
2108,NULL,NULL,7,small,acceptable,captivity,671,One captive specimen was at least 7 years old when it died [0671].
2109,NULL,NULL,NULL,small,low,unknown,NULL,"Longevity in the wild is estimated at up to 2 years, but without detailed studies maximum longevity is unknown."
2110,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, but they have been reported to live up to 4 years [0522]. One captive specimen lived 3.2 years [0671]. Considering the longevity of similar species and the lack of detailed studies, maximum longevity could be considerably higher, though."
2111,NULL,NULL,13,medium,acceptable,captivity,671,One animal was at least 13 years old when it died at Rotterdam Zoo [0671].
2112,NULL,NULL,5,small,acceptable,captivity,671,"In the wild, these animals do not live more than 1.5 years [0434]. One captive specimen was at least 5 years old when it died [0671]."
2113,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals, but they have been reported to live up to 3.2 years [0522]."
2114,NULL,NULL,NULL,small,low,unknown,NULL,Little is known about these animals and only a few have been studied in detail [0434]. One captive specimen lived 3.2 years [0671].
2115,NULL,NULL,3.6,small,acceptable,captivity,671,NULL
2116,NULL,NULL,4.9,small,acceptable,captivity,671,NULL
2117,NULL,NULL,NULL,small,low,unknown,NULL,"A difficult species to keep in captivity due to fighting [0434], these animals have been reported to live up to 3 years [0522]. Without further studies, however, maximum longevity must be classified as unknown."
2118,NULL,NULL,5.3,tiny,acceptable,captivity,671,In the wild these animals do not appear to live more than 1.3 years. One specimen in captivity lived for 5.3 years [0671].
2119,NULL,NULL,5.3,small,acceptable,captivity,671,One specimen in captivity lived for 5.3 years [0671].
2120,NULL,NULL,11,small,acceptable,captivity,671,One male was at least 11 years old when it died at Perth Zoo [0671].
2121,NULL,NULL,NULL,small,low,unknown,NULL,"These are difficult animals to keep in captivity and so little is known about their longevity. There is one report, however, of one animal kept as pet for 17.5 years, after which it escaped [0434]."
2122,NULL,NULL,8.7,small,acceptable,captivity,671,One captive specimen was at least 8.7 years when it died [0671].
2123,NULL,NULL,8.9,tiny,acceptable,captivity,671,One captive specimen was still alive after 8.9 years in captivity [0671].
2124,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals as few have been kept in captivity. One specimen has been reported to live 7.8 years in captivity [0434], which probably refers to one specimen captured in the wild that lived 6.8 years in captivity [0671]. Without more detailed studies, maximum longevity must be classified as unknown."
2125,NULL,NULL,3.1,small,acceptable,captivity,671,"Among all the members of the didelphid family, this species seems to be the one that develops more rapidly. One captive specimen lived for 3.1 years [0671]."
2126,NULL,NULL,NULL,small,low,unknown,NULL,"The longevity of these animals is unknown, though they have been known to live for 1.7 years [0522]."
2127,NULL,NULL,4,small,acceptable,captivity,671,One captive animal lived 4 years [0671].
2128,NULL,NULL,4.2,small,acceptable,captivity,671,"Although there are anecdotal reports suggesting a longer lifespan in captivity, the longest-lived specimen was a 4.2 year old at Rotterdam Zoo [0671]."
2129,NULL,NULL,6.6,medium,acceptable,captivity,671,"In the wild, these animals do not live more than 2 or 3 years. One animal has been known to live 6.6 years in captivity [0671]. Animals living on predator-free islands, live longer, start reproducing at later ages, have smaller litter sizes, and appear to age slower than their mainland counterparts [0695]."
2130,NULL,NULL,6.1,small,acceptable,captivity,671,One captive animal was still alive at 6.1 years of age [0671].
2131,NULL,NULL,2.9,small,acceptable,captivity,671,"In captivity, these animals live up to 2.9 years [0671]."
2132,NULL,NULL,NULL,small,low,unknown,NULL,These animals have been reported to live up to 7 years in captivity [0542]. Other reports suggest they are much shorter-lived in captivity [0671]. Their maximum longevity must be classified as unknown.
2133,NULL,NULL,3.6,small,questionable,captivity,671,"One captive specimen lived 3.6 years [0671], though maximum longevity could be underestimated."
2134,NULL,NULL,5,small,acceptable,captivity,434,Life expectancy in the wild is probably under 1 year. Reproductive ability declines in the second year of life. There is one report of a male specimen obtained at an unknown age living almost 5 years in captivity [0434].
2135,NULL,NULL,4.5,small,acceptable,captivity,671,One specimen lived 4.5 years in captivity [0671].
2136,NULL,NULL,3,small,acceptable,captivity,671,"These animals are short-lived in captivity with a record longevity of 3 years [0671]. Without more detailed studies, however, their maximum longevity could be underestimated, and some anecdotal reports suggest they may live up to 4 years."
2137,NULL,NULL,4.1,small,acceptable,captivity,671,One specimen lived 4.1 years in captivity [0671].
2138,NULL,NULL,3.9,tiny,acceptable,captivity,671,NULL
2139,NULL,NULL,5.1,medium,acceptable,captivity,671,One captive specimen lived for 5.1 years [0671].
2140,NULL,NULL,NULL,small,low,unknown,NULL,"The longevity of these animals in captivity has not been studied in detail, but one animal lived for 2.3 years [0001]."
2141,NULL,NULL,4.4,small,acceptable,captivity,671,In the wild these animals may live up to 2 years. In captivity one specimen was at least 4.4 years when it died [0671].
2142,NULL,NULL,8.8,large,high,captivity,671,"In zoos, these animals have been known to live up to 8.8 years [0671]."
2143,NULL,NULL,NULL,small,low,unknown,NULL,"One specimen lived about 1.5 years in captivity [0434], and these animals have been known to live for 2 years [0522]. Without further studies, however, the maximum longevity of this species cannot be correctly estimated."
2144,NULL,NULL,12,medium,acceptable,unknown,522,"Although these animals normally do not live more than 4 years in the wild, it has been reported that females can live up to 11 years [0434]. Other reports suggest a maximum longevity of 12 years [0522], which is plausible."
2145,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, though they have been reported to live 3.2 years [0522]."
2146,NULL,NULL,10.3,small,acceptable,captivity,671,NULL
2147,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of animals. One captive specimen lived for 4 years [0671], and they have been reported to live for 6 years [0522]. Without further studies, however, their maximum longevity must be classified as unknown."
2148,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals. One captive specimen lived 12.4 years [0671]. They have also been estimated to live up to 20 years [0522], which is possible but unconfirmed."
2149,NULL,NULL,19,tiny,acceptable,captivity,671,In the wild these animals live about 8 years [0542]. One specimen was at least 19 years when it died in captivity [0671].
2150,NULL,NULL,23.6,medium,acceptable,captivity,671,NULL
2151,NULL,NULL,23.8,tiny,acceptable,captivity,671,NULL
2152,NULL,NULL,26.9,medium,acceptable,captivity,671,NULL
2153,NULL,NULL,20,small,acceptable,captivity,671,One captive specimen was estimated to be around 20 years old when it died [0671].
2154,NULL,NULL,13.9,small,acceptable,captivity,671,NULL
2155,NULL,NULL,12.4,small,acceptable,captivity,671,NULL
2156,NULL,NULL,7.9,small,acceptable,captivity,671,NULL
2157,NULL,NULL,8.8,small,acceptable,captivity,671,NULL
2158,NULL,NULL,13.2,medium,acceptable,captivity,671,NULL
2159,NULL,NULL,NULL,small,low,unknown,NULL,"In the wild these animals live about 4 years [0542], maybe longer. One captive specimen lived for 6.7 years [0671], but further studies are necessary to estimate the maximum longevity of this species."
2160,NULL,NULL,16.9,medium,acceptable,captivity,671,In the wild these animals are expected to live up to 14 years [0434]. One specimen lived 16.9 years in captivity [0671].
2161,NULL,NULL,19.8,small,acceptable,captivity,671,In the wild these animals live over 16 years [0542]. One specimen lived 19.8 years in captivity [0671].
2162,NULL,NULL,11.8,tiny,acceptable,captivity,671,This is the smallest wallaroo [0434].
2163,NULL,NULL,NULL,tiny,low,unknown,NULL,"Not much is known about the longevity of these animals. In the wild they have been estimated to live over 15 years [0542], which is possible even if unverified. One captive specimen lived 12.4 years [0671]."
2164,NULL,NULL,15.1,medium,acceptable,captivity,671,In the wild these animals live up to 14 years [0542]. One specimen lived 15 years in captivity [0671].
2165,NULL,NULL,23.2,large,high,captivity,671,In the wild these animals have been estimated to live up to 20 years [0542]. One specimen lived 23.2 years in captivity [0671].
2166,NULL,NULL,25,large,high,captivity,556,"In one field study, the oldest animals were estimated to be around 20 years old. One specimen obtained as a pouch reportedly lived 25 years in captivity [0556]."
2167,NULL,NULL,15.9,large,high,captivity,671,In the wild these animals live about 8 years [0542]. In captivity one specimen lived 15.9 years [0671].
2168,NULL,NULL,NULL,tiny,low,unknown,NULL,"In the wild these animals have been estimated to live up to 10 years [0542]. It also has been reported that they can live up to 14 years [0522]. Their maximum longevity could be much longer, though, and further studies are necessary."
2169,NULL,NULL,22,medium,acceptable,captivity,671,"It has been estimated that they can live up to 24 years in the wild [0522]. Record longevity in captivity, however, is 22 years [0671]."
2170,NULL,NULL,15.2,large,acceptable,captivity,671,"These animals have been reported to live up to 19 years [0522], which is not impossible but appears a bit dubious. Estimates of animals living 18.6 years in the wild have been reported [0434]. There are also anecdotal reports of some animals living more than 20 years. These are common animals in zoos, however, and record longevity in captivity is only 15.2 years [0671]. Further studies are necessary."
2171,NULL,NULL,25,large,high,captivity,671,"In the wild, these animals have been estimated to live up to 27 years [0434], which is plausible but unverified. There are also anecdotal reports of animals living more than 30 years. These animals are common in zoos, however, and record longevity in captivity is only 25 years [0671]."
2172,NULL,NULL,7.4,small,acceptable,captivity,671,One animal in captivity lived for 7.4 years [0671].
2173,NULL,NULL,5.5,small,acceptable,captivity,671,NULL
2174,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals. They have been reported to live up to 13 years [0522], which is plausible but unverified."
2175,NULL,NULL,10.1,small,acceptable,captivity,671,NULL
2176,NULL,NULL,11.7,small,acceptable,captivity,671,"The nabarlek apparently features continuous tooth development. In captivity, it lives up 11.7 years [0671]. It has also been reported that it lives up to 17 years [0522], which is possible but unverified."
2177,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals. They have been reported to live up to 12 years [0522], which is plausible but unverified. One captive specimen lived 9.3 years [0671]."
2178,NULL,NULL,14.3,medium,acceptable,captivity,671,NULL
2179,NULL,NULL,14.4,medium,acceptable,captivity,671,"Although they may reach sexual maturity earlier, females do not conceive until they are about 16 months-old [0455]."
2180,NULL,NULL,13.8,small,acceptable,captivity,671,These animals live over 10 years in the wild. In captivity they live up to 13.8 years [0671].
2181,NULL,NULL,8.8,tiny,acceptable,captivity,671,"These animals have been estimated to live up to 10 years [0522], which has not been confirmed. One captive specimen lived 8.8 years [0671]."
2182,NULL,NULL,9.4,tiny,acceptable,captivity,671,NULL
2183,NULL,NULL,9.7,small,acceptable,captivity,671,NULL
2184,NULL,NULL,9,small,acceptable,captivity,671,"One captive specimen lived 8.1 years [0671]. It also has been reported that these animals live up to 9 years [0522], which is possible."
2185,NULL,NULL,16.8,medium,acceptable,captivity,671,NULL
2186,NULL,NULL,9.6,small,acceptable,captivity,671,NULL
2187,NULL,NULL,14.1,tiny,acceptable,captivity,671,One captive animal was at least 14.1 years when it died [0671].
2188,NULL,NULL,15,small,acceptable,captivity,671,One wild born specimen was at least 15 years when it died in captivity [0671].
2189,NULL,NULL,17.8,large,high,captivity,671,"In zoos, these animals have been known to live up to 17.8 years [0671]."
2190,NULL,NULL,14.8,medium,acceptable,captivity,671,NULL
2191,NULL,NULL,NULL,small,low,unknown,NULL,Little is known about these animals and few have been kept in captivity. One specimen lived 5.9 years at Berlin Zoo before it died in 1937 [0671].
2192,NULL,NULL,18.9,small,acceptable,captivity,671,One captive female was at least 18.9 years when it died [0671].
2193,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals. One captive animal lived 4.1 years [0671], but further studies are necessary before the maximum longevity of these animals can be correctly estimated."
2194,NULL,NULL,17,tiny,acceptable,captivity,671,In the wild these animals have been estimated to live up to 11 years [0542]. One specimen lived for 13.2 years in captivity and could have been up to 17 years old [0671].
2195,NULL,NULL,NULL,tiny,low,unknown,NULL,"Not much is known about the longevity of these animals, but one captive specimen lived to be 10 years of age [0671]."
2196,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals. It has been estimated that they live up to 17 years in the wild [0542], but without more detailed studies their maximum longevity is classified as unknown."
2197,NULL,NULL,15.9,medium,acceptable,captivity,671,"Only 25% of individuals survive to live a second year. Compared to other species of the same genus, development appears to be faster in these animals [0434]. One captive specimen lived for 15.9 years [0671]."
2198,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals. It has been argued that they live over 6 years [0542], but more detailed studies are lacking."
2199,NULL,NULL,22.1,large,high,captivity,671,"In captivity, the koala may live up to 22.1 years [0671]."
2200,NULL,NULL,12.8,tiny,acceptable,captivity,671,NULL
2201,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals. One animal was reportedly still living after 11.8 years in captivity [0434], which is possible but unverified. Record longevity in captivity, however, belongs to one male specimen that lived 8.3 years [0671]."
2202,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals, though one wild born specimen lived 9.9 years in captivity [0671]."
2203,NULL,NULL,18.8,medium,acceptable,captivity,671,One specimen lived 18.8 years in captivity [0671].
2204,NULL,NULL,NULL,tiny,low,unknown,NULL,Little is known about the longevity of these animals but they have been reported to live for 7 years.
2205,NULL,NULL,15.3,small,acceptable,captivity,671,NULL
2206,NULL,NULL,14.5,medium,acceptable,captivity,671,NULL
2207,NULL,NULL,5.4,small,acceptable,captivity,671,In the wild these animals live over 4 years [0542]. One captive specimen lived for 5.4 years [0671].
2208,NULL,NULL,NULL,small,low,unknown,NULL,Not much is known about the longevity of these animals. In the wild they have been estimated to live up to 15 years [0434].
2209,NULL,NULL,10.1,medium,acceptable,captivity,671,In captivity one specimen lived for 10.1 years [0671].
2210,NULL,NULL,NULL,small,low,unknown,NULL,"At birth, these animals are the smallest among mammals. Little is known about their longevity, but they appear to live at least 2 years in the wild [0573], but possibly longer."
2211,NULL,NULL,30,small,acceptable,captivity,671,NULL
2212,NULL,NULL,29.9,medium,acceptable,captivity,671,NULL
2213,NULL,NULL,30,small,acceptable,captivity,671,One captive animal was still alive when it was estimated to be at least 30 years old [0671].
2214,NULL,NULL,11.4,large,high,captivity,671,"In zoos, these animals have been known to live up to 11.4 years [0671]."
2215,NULL,NULL,NULL,tiny,low,unknown,NULL,"These animals have been reported to live up to 7 years [0542]. Due to a lack of detailed studies, however, their maximum longevity must be classified as unknown."
2216,NULL,NULL,NULL,small,low,unknown,NULL,"One specimen was still living after 6.9 years in captivity [0671]. Nonetheless, further studies are necessary to establish the maximum longevity of this species."
2217,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals. There have been, so far unverified, claims of animals living up to 7 years [0511]. One captive specimen was estimated to be 5.2 years old when it died [0671]."
2218,NULL,NULL,8,tiny,acceptable,captivity,671,One specimen was estimated to be 8 years old when it died in captivity [0671].
2219,NULL,NULL,7,tiny,acceptable,captivity,671,One specimen lived for 7 years in captivity [0671].
2220,NULL,NULL,11.7,medium,acceptable,captivity,671,On average this animal reaches sexual maturity 3 months earlier in captivity. In the wild they appear to live up to 7-8 years. One captive specimen lived for 11.7 years [0671].
2221,NULL,NULL,7.6,small,acceptable,captivity,671,NULL
2222,NULL,NULL,6.3,small,acceptable,captivity,671,Anecdotal reports suggest that some animals may live up to 10 years. One captive specimen was estimated to be 6.3 years of age when it died [0671].
2223,NULL,NULL,7,small,acceptable,captivity,671,"One wild born specimen was about 7 years old, though it could have been older, when it died in captivity [0671]."
2224,NULL,NULL,13.6,small,acceptable,captivity,671,One wild born specimen was at least 13.6 years of age when it died in captivity [0671].
2225,NULL,NULL,NULL,small,low,unknown,NULL,"Estimates that these animals live up to 14 years in the wild are likely overestimated [0542]. One study in the wild reported an average longevity for females of little over 4 years while males appear to live even less [0434]. Not much is known about their longevity in captivity, but one animal lived for 11.8 years [0671]. Because of these conflicting reports, maximum longevity must be classified as unknown."
2226,NULL,NULL,14.8,medium,acceptable,captivity,671,"In the wild, animals have been reported to live for 8.5 years [0434]. One captive specimen lived for 14.8 years [0671]."
2227,NULL,NULL,NULL,small,low,unknown,NULL,Knowledge regarding the longevity of these animals is limited. One wild born specimen was still alive in captivity at about 4.3 years of age [0671].
2228,NULL,NULL,NULL,small,low,unknown,NULL,Knowledge regarding the longevity of these animals is limited. One wild born specimen was about 4.8 years of age when it died in captivity [0671].
2229,NULL,NULL,NULL,tiny,low,unknown,NULL,"In the wild, these animals do not generally live more than 3 years and most die within their first year of life. Potential longevity has been estimated at 5 years [0434]. One wild born specimen was about 5.4 years of age when it died in captivity [0671]. Anecdotal reports of animals living up to 8 years have not been confirmed. Further studies are necessary to better estimate the maximum longevity of this species."
2230,NULL,NULL,13,small,acceptable,captivity,671,NULL
2231,NULL,NULL,11.8,tiny,acceptable,captivity,671,One wild born specimen was about 11.8 years of age when it died in captivity [0671].
2232,NULL,NULL,NULL,small,low,unknown,NULL,Knowledge regarding the longevity of these animals is limited. One wild born specimen was still alive in captivity at about 8.9 years of age [0671].
2233,NULL,NULL,10.7,small,acceptable,captivity,671,"It has been estimated that these animals live up to 10.7 years in the wild [0542], which is doubtful. One wild born specimen was about 10.7 years of age when it died in captivity [0671]."
2234,NULL,NULL,18,medium,acceptable,wild,640,One marked animal lived for 18 years in the wild [0640].
2235,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, though it has been reported that they live up to 8 years [0610]."
2236,NULL,NULL,13,large,questionable,captivity,1309,"Although in the wild females reach full sexual maturity at the age of 2 years, in domesticated animals females can reproduce when they are only three months old. There are many anecdotes concerning the longevity of rabbits. It has been estimated that both in the wild and in captivity they rarely live more than 9 years [0434]. A rabbit in Australia called ""Flopsy"" reportedly lived 18.8 years in captivity after being caught in the wild [0551], but this record cannot be confirmed. Record longevity in zoos and parks is only 7.9 years belonging to one female at Frankfurt Zoo [0671]. Further studies are necessary to better estimate the maximum longevity of these animals."
2237,NULL,NULL,7.8,small,acceptable,captivity,671,NULL
2238,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, though they have been reported to live over 6 years [0520]."
2239,NULL,NULL,9.8,small,acceptable,captivity,"Steven Austad, pers. comm.","In the wild, these animals appear to live up to 5 years. In captivity, they have been reported to live more than 9 years [0001]. One captive specimen lived 8.4 years at Tulsa Zoo [0671]. There are anecdotal reports, which may be true, of one animal living 9.8 years in captivity (Steven Austad, pers. comm.). Other estimates suggest they may live over 10 years [0697], but this is unverified."
2240,NULL,NULL,7.4,small,acceptable,captivity,671,Knowledge regarding ageing in these animals is limited. One wild born specimen was about 7.4 years of age when it died in captivity [0671].
2241,NULL,NULL,7.6,small,acceptable,captivity,671,One captive specimen lived 7.6 years [0671].
2242,NULL,NULL,9.3,tiny,acceptable,captivity,671,NULL
2243,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals. In the wild, they have been estimated to live up to 6 years [0542]."
2244,NULL,NULL,9.4,small,acceptable,captivity,671,NULL
2245,NULL,NULL,7,small,acceptable,captivity,671,It has been estimated that these animals live up to 7 years in the wild [0573]. One wild born captive specimen was about 7 years old when it died in captivity [0671].
2246,NULL,NULL,NULL,small,low,unknown,NULL,"While females may reproduce much sooner, males generally do not mate in their first year of life. It has been estimated that these animals live up to 4 years in the wild [0542]. Record longevity in captivity, however, is only 3.1 years [0671]. Further studies are necessary."
2247,NULL,NULL,NULL,small,low,unknown,NULL,"Knowledge is limited regarding the longevity of these animals, though one captive specimen lived 4.2 years [0671]."
2248,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, but one captive specimen lived 5.7 years [0671]."
2249,NULL,NULL,9.3,small,acceptable,captivity,671,NULL
2250,NULL,NULL,7.2,small,acceptable,captivity,671,One captive specimen lived for 7.2 years [0671].
2251,NULL,NULL,7.9,small,acceptable,captivity,671,One captive specimen lived for 7.9 years [0671].
2252,NULL,NULL,8.7,medium,acceptable,captivity,671,NULL
2253,NULL,NULL,NULL,small,low,unknown,NULL,Pregnant females tend to abort in captivity and so there are only limited longevity studies. One wild born specimen was about 7.2 years of age when it died in captivity [0671].
2254,NULL,NULL,11,small,acceptable,captivity,671,These animals have been reported to live up to 5 years in the wild [0434]. One captive specimen was at least 11 years old when it died [0671].
2255,NULL,NULL,NULL,small,low,unknown,NULL,Little is known about the longevity of these animals. One specimen was still alive after 4.5 years in captivity [0671].
2256,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals but they live at least 3 years, probably longer."
2257,NULL,NULL,22.6,small,acceptable,captivity,671,One captive specimen was at least 22.6 years old when it died [0671].
2258,NULL,NULL,49.5,medium,acceptable,captivity,671,"These are relatively long-lived animals. There are anecdotal reports of one animal living over 50 years in captivity [0434]. The record longevity, however, belongs to a 49.5 year-old female kept at Philadelphia Zoo [0671]. These animals have also been reported to live up to 48 years in the wild [0835]."
2259,NULL,NULL,41.2,tiny,acceptable,captivity,671,One captive specimen at the Toronga Zoo in Sydney was still alive at 41.2 years of age [0671].
2260,NULL,NULL,NULL,small,low,unknown,NULL,Little is known about longevity in these animals but they are expected to live at least 1.5 years in the wild [0542].
2261,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals, but one captive specimen lived for 2.7 years [0671]."
2262,NULL,NULL,3.1,small,acceptable,captivity,671,NULL
2263,NULL,NULL,6.7,tiny,acceptable,captivity,671,One captive specimen was at least 6.7 years old when it died [0671].
2264,NULL,NULL,6.8,small,acceptable,captivity,671,"Among all mammals, this animal has the shortest gestation period recorded. One captive animal lived for 6.8 years [0671]."
2265,NULL,NULL,6.5,small,acceptable,captivity,671,One captive specimen was at least 6.5 years old when it died [0671].
2266,NULL,NULL,5.8,small,acceptable,captivity,671,NULL
2267,NULL,NULL,6.1,medium,acceptable,captivity,671,NULL
2268,NULL,NULL,5.6,small,acceptable,captivity,671,One captive specimen was at least 5.6 years old when it died [0671].
2269,NULL,NULL,3.2,small,questionable,captivity,671,"Although one captive animal lived 3.2 years [0671], maximum longevity in this species is likely underestimated as even in the wild animals are expected to live over 3 years."
2270,NULL,NULL,9.6,medium,acceptable,captivity,671,NULL
2271,NULL,NULL,47,large,high,captivity,671,"When domesticated these animals are called donkeys. In captivity the African wild ass can live up to 28.5 years [0671]. Donkeys, however, have been reported to live up to 47 years, and females can reproduce for some 20 years [0434]. While these reports may be true, anecdotal reports of animals living over 50 years are doubtful."
2272,0.0002,4,57,large,high,captivity,"Richard Miller, pers. comm.","Horses suffer from a form of mechanical senescence in their teeth that limits their longevity. As in dogs (<i>Canis familiaris</i>), dwarf or miniature horses appear to live longer [0742]. One Icelandic miniature horse named ""Tulle"" is reported to have lived 57 years (Richard Miller, pers. comm.). Anecdotal evidence tells of a horse, called ""Old Billy,"" that lived for 62 years in England, but that record is unverified."
2273,NULL,NULL,31,large,high,captivity,671,One wild born specimen was about 31 years old when it died in captivity [0671].
2274,NULL,NULL,31.6,medium,acceptable,captivity,671,"The Asiatic wild ass includes the kulan and the onanger, previously thought to be separate species. Record longevity belongs to a member of the <i>onager</i> subspecies that lived 31.6 years in captivity [0671]."
2275,NULL,NULL,30.1,medium,acceptable,captivity,671,NULL
2276,NULL,NULL,38,large,high,captivity,671,One wild born specimen of the <i>burchellii</i> subspecies was about 38 years old when it died in captivity [0671]. Reports of animals living 40 years in captivity have not been confirmed.
2277,NULL,NULL,33.2,medium,acceptable,captivity,671,One captive specimen lived for 33.2 years [0671].
2278,NULL,NULL,45,large,high,captivity,671,"Even though animals may be sexually mature by age 4, they normally do not reproduce until later. In the wild, a 36-year-old female was still reproductively active. Potential longevity has been estimated at 40-50 years [0434]. One wild born specimen was still alive in captivity at about age 45 [0671]."
2279,NULL,NULL,32.8,tiny,acceptable,captivity,671,"Though age at sexual maturity is unknown, these animals probably do not reproduce before being 7 years old [0434]. In the wild, it is estimated that they live up to 35 years [0542], but their record longevity in captivity is 32.8 years [0671]."
2280,NULL,NULL,49,medium,acceptable,captivity,671,One wild born specimen was about 49 years old when it died in captivity [0671].
2281,NULL,NULL,NULL,small,low,unknown,NULL,"In the wild, these animals are estimated to live up to 40 years [0542]. They have lived over 20 years in captivity [0671], but because only a few animals remain little is known about their longevity."
2282,NULL,NULL,43.5,medium,acceptable,captivity,671,"In the wild, these animals are estimated to live up to 40 years [0542]. There is one report of one animal living for 47 years in captivity [0434], but this is doubtful. One wild born male was about 43-44 years old when he died in captivity [0671]."
2283,NULL,NULL,36.5,medium,acceptable,captivity,671,One captive specimen lived for 36.5 years [0671].
2284,NULL,NULL,29.6,medium,acceptable,captivity,671,One wild born specimen was about 29.6 years when it died in captivity [0671].
2285,NULL,NULL,28.5,small,acceptable,captivity,671,One wild born specimen was about 28-29 years when it died in captivity [0671].
2286,NULL,NULL,39.6,large,high,captivity,"John Gramieri, pers. comm.","One specimen called ""George"", born in captivity in 1970, died at San Antonio Zoo in 2010 at 39.6 years of age (John Gramieri, pers. comm.)."
2287,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals. One captive specimen lived for 19.3 years [0671]. Probably some animals live over 20 years, though detailed longevity studies are lacking."
2288,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals, but one specimen was still alive after 15.3 years in captivity [0671]."
2289,NULL,NULL,NULL,small,low,unknown,NULL,"In the wild, these animals are estimated to live up to 12 years [0542]. Their longevity in captivity could be much longer, though."
2290,NULL,NULL,NULL,small,low,unknown,NULL,"There are no detailed studies of longevity in this species but it has been estimated they live up to 40 years in the wild [0542]. These animals are difficult to breed in captivity [0434], and hence their maximum longevity must b classified as unknown."
2291,NULL,NULL,NULL,tiny,low,unknown,NULL,"While the average lifespan of these animals is below 2 years, it is likely they live much longer in captivity. One animal was kept for 2.3 years in captivity [0434]. Nonetheless, without further longevity studies, the maximum longevity of this species cannot be determined."
