pubmed_id,terms,title,journal,author,volume,authors,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
17804819,"['Atherosclerosis/immunology/metabolism/pathology', 'Cell Aging/drug effects/physiology', 'Cell Cycle/drug effects', 'Cells, Cultured', 'DNA/genetics', 'DNA Damage/genetics', 'Endothelial Cells/cytology/drug effects/metabolism', 'Humans', 'Insulin-Like Growth Factor Binding Protein 5/genetics/immunology/metabolism/pharmacology', 'MicroRNAs/genetics', 'Protein Processing, Post-Translational', 'Signal Transduction', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Umbilical Cord/cytology/drug effects/metabolism', 'Up-Regulation/drug effects']",Induction of cellular senescence by insulin-like growth factor binding protein-5 through a p53-dependent mechanism.,Mol. Biol. Cell,Kim et al.,18,,"Kim, KS et al.",2007,,11,4543-4552,,,,
17964297,"['Calcium/pharmacology', 'Cell Aging/physiology', 'Cells, Cultured', 'Down-Regulation', 'Endothelial Cells/metabolism', 'Enzyme Activation/drug effects', 'Humans', 'Integrin beta4/genetics/metabolism', 'RNA, Small Interfering/genetics', 'Reactive Oxygen Species/metabolism', 'Tumor Suppressor Protein p53/metabolism', 'Type C Phospholipases/metabolism']",Vascular endothelial cell senescence mediated by integrin beta4 in vitro.,FEBS Lett.,Liu et al.,581,,"Liu, X et al.",2007,,28,5337-5342,,,,
18025081,"['Base Sequence', 'Basic Helix-Loop-Helix Transcription Factors/genetics/physiology', 'Cell Aging/genetics/physiology', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'DNA Damage', 'DNA, Complementary/genetics', 'Genes, p53', 'Humans', 'Oligonucleotide Array Sequence Analysis', 'Promoter Regions, Genetic', 'Protein Binding', 'RNA, Small Interfering/genetics', 'Tumor Suppressor Protein p53/physiology', 'Tumor Suppressor Proteins/antagonists & inhibitors/genetics/physiology']","DEC1, a basic helix-loop-helix transcription factor and a novel target gene of the p53 family, mediates p53-dependent premature senescence.",J. Biol. Chem.,Qian et al.,283,,"Qian, Y et al.",2008,,5,2896-2905,,,,
18089808,"['Apoptosis', 'Breast/cytology', 'Breast Neoplasms', 'Cell Aging/physiology', 'Cell Line, Tumor', 'Cell Survival', 'Epithelial Cells', 'Female', 'HSP27 Heat-Shock Proteins', 'Heat-Shock Proteins/genetics/physiology', 'Humans', 'Male', 'Neoplasm Proteins/genetics/physiology', 'Prostatic Neoplasms', 'Signal Transduction', 'Tumor Suppressor Protein p53/metabolism']",Hsp27 modulates p53 signaling and suppresses cellular senescence.,Cancer Res.,O'Callaghan-Sunol et al.,67,,"O'Callaghan-Sunol, C et al.",2007,,24,11779-11788,,,,
18201843,"['Amino Acid Sequence', 'Animals', 'Apoptosis/genetics', 'Cell Aging/genetics', 'Cell Cycle Proteins/chemistry/genetics', 'HeLa Cells', 'Humans', 'Mice', 'Microtubule-Associated Proteins/chemistry/genetics', 'Molecular Sequence Data', 'NIH 3T3 Cells', 'Phosphoproteins/chemistry/genetics', 'Sequence Homology, Amino Acid']","Overexpression of SPINDLIN1 induces cellular senescence, multinucleation and apoptosis.",Gene,Yuan et al.,410,,"Yuan, H et al.",2008,,1,67-74,,,,
18320031,"['Antibiotics, Antineoplastic/pharmacology', 'Blotting, Western', 'Cell Aging/physiology', 'Cell Cycle/physiology', 'Cell Proliferation', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Diploidy', 'Extracellular Signal-Regulated MAP Kinases/metabolism', 'Fibroblasts/metabolism', 'Humans', 'Phosphorylation', 'Retinoblastoma Protein/metabolism', 'Ribosomal Protein S6 Kinases/metabolism', 'Signal Transduction', 'Sirolimus/pharmacology', 'Sirtuin 1', 'Sirtuins/antagonists & inhibitors/genetics/metabolism', 'beta-Galactosidase/metabolism']",SIRT1 overexpression antagonizes cellular senescence with activated ERK/S6k1 signaling in human diploid fibroblasts.,PLoS ONE,Huang et al.,3,,"Huang, J et al.",2008,,3,e1710,,,,
18329388,"['Cell Aging', 'Cell Line', 'Diploidy', 'Ethanol/pharmacology', 'Fibroblasts/drug effects/physiology', 'Gene Expression Profiling', 'Humans', 'Insulin-Like Growth Factor Binding Protein 3/physiology', 'Oligonucleotide Array Sequence Analysis', 'tert-Butylhydroperoxide/pharmacology']",Screening of senescence-associated genes with specific DNA array reveals the role of IGFBP-3 in premature senescence of human diploid fibroblasts.,Free Radic. Biol. Med.,Debacq-Chainiaux et al.,44,,"Debacq-Chainiaux, F et al.",2008,,10,1817-1832,,,,
18505922,"['Cell Aging', 'Cell Line', 'Cell Proliferation', 'DNA Methylation', 'Epigenesis, Genetic', 'Fibroblasts/metabolism', 'Gene Expression Regulation', 'Humans', 'Interferon Regulatory Factor-7/metabolism', 'Interferon Regulatory Factors/metabolism', 'Interferon-alpha/metabolism', 'Interferons/metabolism', 'Li-Fraumeni Syndrome/metabolism', 'Models, Biological', 'Reverse Transcriptase Polymerase Chain Reaction']",Interferon regulatory factors IRF5 and IRF7 inhibit growth and induce senescence in immortal Li-Fraumeni fibroblasts.,Mol. Cancer Res.,Li et al.,6,,"Li, Q et al.",2008,,5,770-784,,,,
18555777,"['Adenocarcinoma/metabolism', 'Animals', 'CCAAT-Enhancer-Binding Protein-beta/metabolism', 'Cell Aging', 'Cell Line', 'Cell Line, Tumor', 'Chemokines/metabolism', 'DNA Damage', 'Down-Regulation', 'Fibroblasts/cytology/metabolism', 'Humans', 'Ligands', 'Lung Neoplasms/metabolism', 'Mice', 'NF-kappa B/metabolism', 'Precancerous Conditions/metabolism', 'RNA Interference', 'Receptors, Interleukin-8A/metabolism', 'Receptors, Interleukin-8B/genetics/metabolism', 'Signal Transduction', 'Tumor Suppressor Protein p53/metabolism']",Chemokine signaling via the CXCR2 receptor reinforces senescence.,Cell,Acosta et al.,133,,"Acosta, JC et al.",2008,,6,1006-1018,,,,
18559589,"['Adult', 'Aged', 'Aged, 80 and over', 'Autoantigens/genetics', 'Cell Aging/drug effects/genetics', 'Cell Differentiation/drug effects/genetics', 'Cell Proliferation/drug effects', 'Female', 'Gene Expression Regulation, Neoplastic/drug effects', 'HCT116 Cells', 'HL-60 Cells', 'HeLa Cells', 'Humans', 'Male', 'Membrane Proteins/antagonists & inhibitors/genetics', 'Middle Aged', 'RNA, Small Interfering/pharmacology', 'Stomach Neoplasms/genetics', 'Tumor Stem Cell Assay', 'Up-Regulation']","CIP2A is overexpressed in gastric cancer and its depletion leads to impaired clonogenicity, senescence, or differentiation of tumor cells.",Clin. Cancer Res.,Li et al.,14,,"Li, W et al.",2008,,12,3722-3728,,,,
18616636,"['Aged', 'Aging/genetics/metabolism/pathology', 'Cell Proliferation', 'Cells, Cultured', 'Cysteine Endopeptidases/biosynthesis/metabolism', 'Down-Regulation/genetics/physiology', 'Endopeptidases/biosynthesis/genetics/metabolism', 'Enzyme Repression/genetics/physiology', 'Fibroblasts/enzymology/metabolism/pathology', 'Humans', 'RNA Interference/physiology', 'SUMO-1 Protein/metabolism', 'Tumor Suppressor Protein p53/antagonists & inhibitors/physiology']",Repression of the SUMO-specific protease Senp1 induces p53-dependent premature senescence in normal human fibroblasts.,Aging Cell,Yates et al.,7,,"Yates, KE et al.",2008,,5,609-621,,,,
18639375,"['Adaptor Proteins, Signal Transducing/physiology', 'Apoptosis', 'Base Sequence', 'Breast Neoplasms/metabolism/pathology', 'Cell Aging/physiology', 'Cell Line, Tumor', 'Cell Proliferation', 'DNA Primers', 'Humans', 'Liver Neoplasms/metabolism/pathology', 'Male', 'Neoplasm Proteins/physiology', 'Prostatic Neoplasms/metabolism/pathology', 'RNA Interference', 'Reverse Transcriptase Polymerase Chain Reaction', 'Transcriptional Activation/physiology', 'Tumor Suppressor Protein p53/physiology']","The autocrine human secreted PDZ domain-containing protein 2 (sPDZD2) induces senescence or quiescence of prostate, breast and liver cancer cells via transcriptional activation of p53.",Cancer Lett.,Tam et al.,271,,"Tam, CW et al.",2008,,1,64-80,,,,
18678645,"[""5' Untranslated Regions/metabolism"", 'Cell Aging', 'Cell Cycle', 'Cell Line', 'Cell Proliferation', 'Cyclin-Dependent Kinase Inhibitor p27/metabolism', 'Gene Expression Profiling', 'Gene Expression Regulation', 'Gene Silencing', 'Humans', 'PTEN Phosphohydrolase/biosynthesis/genetics', 'Pregnancy Proteins/metabolism', 'Protein Binding', 'Protein Biosynthesis', 'Protein Transport', 'RNA, Messenger/genetics/metabolism', 'Ribosomal Proteins/metabolism', 'Subcellular Fractions/metabolism']",CSIG inhibits PTEN translation in replicative senescence.,Mol. Cell. Biol.,Ma et al.,28,,"Ma, L et al.",2008,,20,6290-6301,,,,
18691180,"['Alternative Splicing/physiology', 'Cell Aging/physiology', 'Cell Division/genetics', 'Cell Line', 'Chromatin Assembly and Disassembly/physiology', 'Gene Expression Regulation/physiology', 'Histone Deacetylases/metabolism', 'Humans', 'Intracellular Signaling Peptides and Proteins/genetics', 'Nuclear Proteins/biosynthesis/genetics', 'Phenotype', 'Protein Isoforms/biosynthesis/genetics', 'Tumor Suppressor Proteins/biosynthesis/genetics']",ING1a expression increases during replicative senescence and induces a senescent phenotype.,Aging Cell,Soliman et al.,7,,"Soliman, MA et al.",2008,,6,783-794,,,,
18845560,"['Blotting, Western', 'Breast Neoplasms/genetics/metabolism', 'Cell Aging/physiology', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Down-Regulation', 'Female', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Gene Expression', 'Gene Expression Profiling', 'Humans', 'Proteins/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction/physiology', 'Transfection', 'Tumor Suppressor Protein p53/genetics/metabolism']",Expression of hepaCAM is downregulated in cancers and induces senescence-like growth arrest via a p53/p21-dependent pathway in human breast cancer cells.,Carcinogenesis,Moh et al.,29,,"Moh, MC et al.",2008,,12,2298-2305,,,,
18852884,"['Cell Aging', 'Cell Proliferation', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'DNA-Binding Proteins/genetics/physiology', 'Fibroblasts/cytology/metabolism', 'Foreskin/cytology', 'G1 Phase', 'Humans', 'Male', 'RNA Interference', 'RNA, Small Interfering/pharmacology', 'Tumor Suppressor Protein p53/metabolism']",Knockdown of MBP-1 in human foreskin fibroblasts induces p53-p21 dependent senescence.,PLoS ONE,Ghosh et al.,3,,"Ghosh, AK et al.",2008,,10,e3384,,,,
19001376,"['Apoptosis/physiology', 'Apoptosis Regulatory Proteins/metabolism', 'Cell Aging/physiology', 'DNA Damage/physiology', 'DNA Repair/physiology', 'Fibroblasts/cytology/metabolism', 'HeLa Cells', 'Humans', 'RNA-Binding Proteins/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism']",CARF Is a vital dual regulator of cellular senescence and apoptosis.,J. Biol. Chem.,Hasan et al.,284,,"Hasan, K et al.",2009,,3,1664-1672,,,,
19071156,"['Acetylcysteine/pharmacology', 'Animals', 'Antioxidants/pharmacology', 'Cell Aging/drug effects/genetics', 'Cell Proliferation', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'DNA Damage', 'Endothelial Cells/drug effects/metabolism', 'Fibroblasts/metabolism', 'Histones/metabolism', 'Humans', 'Interferon-alpha/metabolism', 'Interferon-gamma/metabolism', 'Mice', 'Mice, Knockout', 'Nuclear Proteins/metabolism', 'Phosphoproteins/metabolism', 'Phosphorylation', 'Protein Processing, Post-Translational', 'Reactive Oxygen Species/metabolism', 'Recombinant Proteins/metabolism', 'Signal Transduction/drug effects', 'Time Factors', 'Tumor Suppressor Protein p53/genetics/metabolism']",Interferon-gamma induces cellular senescence through p53-dependent DNA damage signaling in human endothelial cells.,Mech. Ageing Dev.,Kim et al.,130,,"Kim, KS et al.",2009,,3,179-188,,,,
19141477,"['Animals', 'Base Sequence', 'Cell Aging/genetics/physiology', 'Cell Line', 'Cells, Cultured', 'Energy Metabolism/genetics', 'Gene Expression Regulation, Developmental', 'Gene Knockdown Techniques', 'Genes, p53/genetics', 'Humans', 'Mice', 'Mice, Knockout', 'Molecular Sequence Data', 'RNA, Messenger/metabolism', 'Sequence Alignment', 'Time Factors', 'Transcription Factors/genetics/metabolism', 'mRNA Cleavage and Polyadenylation Factors/genetics/metabolism']","CPEB regulation of human cellular senescence, energy metabolism, and p53 mRNA translation.",Genes Dev.,Burns and Richter,22,,"Burns, D.M. and Richter, J.D.",2008,,24,3449-3460,,,,
19197340,"['Animals', 'Cell Aging/physiology', 'Cell Line', 'Down-Regulation', 'Fibroblasts/cytology/physiology', 'Gene Knockdown Techniques', 'Humans', 'Reactive Oxygen Species/metabolism', 'Receptors, Phospholipase A2/genetics/metabolism', 'Signal Transduction/physiology', 'Tumor Suppressor Protein p53/genetics/metabolism']",The M-type receptor PLA2R regulates senescence through the p53 pathway.,EMBO Rep.,Augert et al.,10,,"Augert, A et al.",2009,,3,271-277,,,,
19210550,"['Aging', 'Apoptosis', 'Gene Knockdown Techniques', 'HeLa Cells', 'Humans', 'Nuclear Proteins/metabolism', 'Transcription Factors/metabolism', 'Transcriptional Elongation Factors', 'Tumor Suppressor Protein p53/metabolism']",Role of human transcription elongation factor DSIF in the suppression of senescence and apoptosis.,Genes Cells,Komori et al.,14,,"Komori, T et al.",2009,,3,343-354,,,,
19219070,"['Animals', 'Cell Aging', 'Cyclin-Dependent Kinase Inhibitor p16/physiology', 'Cyclin-Dependent Kinase Inhibitor p27/physiology', 'Glioma/pathology/prevention & control', 'Humans', 'Intracellular Signaling Peptides and Proteins/physiology', 'Mice', 'Proto-Oncogene Proteins c-sis/antagonists & inhibitors/physiology', 'SOXD Transcription Factors/physiology', 'Tumor Cells, Cultured']",Sox5 can suppress platelet-derived growth factor B-induced glioma development in Ink4a-deficient mice through induction of acute cellular senescence.,Oncogene,Tchougounova et al.,28,,"Tchougounova, E et al.",2009,,12,1537-1548,,,,
19279193,"['Acetamides/pharmacology', 'Catalytic Domain/genetics', 'Cell Aging/physiology', 'Cell Line', 'Cell Proliferation/drug effects', 'Diploidy', 'Enzyme Activators/pharmacology', 'Fibroblasts/metabolism/pathology', 'Gene Expression Regulation, Enzymologic', 'Genes, ras', 'Humans', 'Kidney/cytology/metabolism', 'Protein Kinase C-delta/antagonists & inhibitors/biosynthesis/physiology', 'Pyrans/pharmacology', 'RNA, Small Interfering', 'Recombinant Proteins/biosynthesis', 'Spiro Compounds/pharmacology', 'Telomerase/genetics', 'Transduction, Genetic', 'Transforming Growth Factor beta/pharmacology', 'beta-Galactosidase/biosynthesis']",Protein kinase C delta plays a key role in cellular senescence programs of human normal diploid cells.,J. Biochem.,Katakura et al.,146,,"Katakura, Y et al.",2009,,1,87-93,,,,
19293188,"['Cell Aging/physiology', 'Cell Growth Processes/physiology', 'Chemotaxis', 'Cyclin-Dependent Kinase Inhibitor p21/biosynthesis/genetics', 'DNA Methylation', 'Humans', 'Intracellular Signaling Peptides and Proteins/genetics/metabolism/physiology', 'Melanoma/enzymology/genetics/pathology', 'Neoplastic Stem Cells/pathology', 'Promoter Regions, Genetic', 'Protein-Tyrosine Kinases/biosynthesis/genetics/metabolism/physiology', 'RNA, Small Interfering/genetics', 'Signal Transduction', 'Spheroids, Cellular', 'Syk Kinase', 'Transfection', 'Tumor Suppressor Protein p53/metabolism', 'Up-Regulation', 'src Homology Domains']",Spleen tyrosine kinase functions as a tumor suppressor in melanoma cells by inducing senescence-like growth arrest.,Cancer Res.,Bailet et al.,69,,"Bailet, O et al.",2009,,7,2748-2756,,,,
19372557,"['Aging, Premature/physiopathology', 'Antibiotics, Antineoplastic/pharmacology', 'Antineoplastic Agents, Phytogenic/pharmacology', 'Apoptosis/drug effects', 'BRCA1 Protein/genetics/metabolism', 'Breast Neoplasms/drug therapy/genetics/metabolism', 'Cell Aging/drug effects', 'Cell Line, Transformed/drug effects', 'Cells, Cultured', 'Cisplatin/pharmacology', 'Colony-Forming Units Assay', 'Cross-Linking Reagents/pharmacology', 'Doxorubicin/pharmacology', 'Etoposide/pharmacology', 'Humans', 'Mitomycin/pharmacology']",Premature senescence is a major response to DNA cross-linking agents in BRCA1-defective cells: implication for tailored treatments of BRCA1 mutation carriers.,Mol. Cancer Ther.,Santarosa et al.,8,,"Santarosa, M et al.",2009,,4,844-854,,,,
19435923,"['Cell Aging/genetics/physiology', 'Cell Cycle/genetics/physiology', 'Cell Division/physiology', 'Cell Line', 'DNA Damage', 'DNA Primers', 'DNA Topoisomerases, Type I/genetics', 'Genetic Testing/methods', 'Homeostasis', 'Humans', 'Lung', 'Polymerase Chain Reaction/methods', 'Transfection']",A genetic screen identifies topoisomerase 1 as a regulator of senescence.,Cancer Res.,Humbert et al.,69,,"Humbert, N et al.",2009,,10,4101-4106,,,,
19448675,"['Blotting, Western', 'Cell Aging/genetics/physiology', 'Cell Proliferation', 'Cells, Cultured', 'Core Binding Factor Alpha 2 Subunit/genetics/metabolism', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Fibroblasts/cytology/metabolism', 'Foreskin/cytology', 'Humans', 'Infant, Newborn', 'Male', 'Mutation', 'Oncogene Proteins, Fusion/genetics/metabolism', 'Reactive Oxygen Species/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tumor Suppressor Protein p53/genetics/metabolism', 'p38 Mitogen-Activated Protein Kinases/metabolism', 'ras Proteins/genetics/metabolism']","RUNX1 and its fusion oncoprotein derivative, RUNX1-ETO, induce senescence-like growth arrest independently of replicative stress.",Oncogene,Wolyniec et al.,28,,"Wolyniec, K et al.",2009,,27,2502-2512,,,,
19466596,"['Adenocarcinoma/metabolism/pathology', 'Cell Aging/physiology', 'Cell Line, Tumor', 'Cell Proliferation', 'Colonic Neoplasms/metabolism/pathology', 'Gene Knockdown Techniques', 'Heparan Sulfate Proteoglycans/metabolism', 'Humans', 'Signal Transduction/physiology', 'Transfection', 'Tumor Necrosis Factor Ligand Superfamily Member 13/genetics/metabolism']",Reduced APRIL expression induces cellular senescence via a HSPG-dependent pathway.,Pathol. Oncol. Res.,Ding et al.,15,,"Ding, W et al.",2009,,4,693-701,,,,
19509229,"['Apoptosis/genetics', 'Base Sequence', 'Carrier Proteins/genetics', 'Cell Aging/genetics', 'Cell Division/genetics', 'Cell Line, Tumor', 'DNA Primers', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'G2 Phase/genetics', 'Gene Silencing', 'Humans', 'Neoplasms/genetics/pathology']","ROC1/RBX1 E3 ubiquitin ligase silencing suppresses tumor cell growth via sequential induction of G2-M arrest, apoptosis, and senescence.",Cancer Res.,Jia et al.,69,,"Jia, L et al.",2009,,12,4974-4982,,,,
19544416,"['Adipose Tissue/physiology', 'Apoptosis/physiology', 'Cell Aging/physiology', 'Cell Cycle/physiology', 'Cell Growth Processes/physiology', 'Down-Regulation', 'Genes, p16/physiology', 'Humans', 'Immunoblotting', 'Mesenchymal Stromal Cells/cytology/metabolism', 'Osteogenesis/physiology', 'Phosphoprotein Phosphatases/biosynthesis/genetics/metabolism', 'Phosphorylation', 'Protein Phosphatase 2C', 'Reactive Oxygen Species/metabolism', 'Retinoblastoma Protein/metabolism', 'Signal Transduction', 'Transfection', 'p38 Mitogen-Activated Protein Kinases/physiology']",Senescent growth arrest in mesenchymal stem cells is bypassed by Wip1-mediated downregulation of intrinsic stress signaling pathways.,Stem Cells,Lee et al.,27,,"Lee, JS et al.",2009,,8,1963-1975,,,,
19583777,"['Apoptosis', 'Cell Aging/genetics/physiology', 'Cell Division', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'DNA-Binding Proteins/chemistry/genetics/metabolism', 'Gene Expression Regulation, Enzymologic', 'Gene Expression Regulation, Neoplastic', 'Histones/metabolism', 'Humans', 'Kinetics', 'Lung Neoplasms', 'Neoplasm Proteins/genetics/metabolism', 'Transcription Factors/chemistry/genetics/metabolism', 'beta-Galactosidase/metabolism']",The transcription factor ZBP-89 suppresses p16 expression through a histone modification mechanism to affect cell senescence.,FEBS J.,Feng et al.,276,,"Feng, Y et al.",2009,,15,4197-4206,,,,
19584160,"['Antineoplastic Agents/pharmacology', 'Blotting, Western', 'Cell Aging/genetics/physiology', 'Cell Line', 'Cell Proliferation/drug effects', 'Cisplatin/pharmacology', 'Colonic Neoplasms/genetics/metabolism/pathology', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'DNA Replication', 'Down-Regulation/drug effects', 'HCT116 Cells', 'Humans', 'Hydrogen Peroxide/pharmacology', 'Kidney Neoplasms/genetics/metabolism/pathology', 'Neoplasms/genetics/metabolism/pathology', 'Oxidants/pharmacology', 'Oxidative Stress/physiology', 'RNA, Small Interfering/genetics', 'Retinoblastoma Protein/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Ribosomal Protein S6 Kinases, 90-kDa/genetics/metabolism', 'Transfection', 'Tumor Suppressor Protein p53/metabolism']","Regulation of replicative and stress-induced senescence by RSK4, which is down-regulated in human tumors.",Clin. Cancer Res.,López-Vicente et al.,15,,"López-Vicente, L et al.",2009,,14,4546-4553,,,,
19642975,"['14-3-3 Proteins', 'Antineoplastic Agents/pharmacology', 'Azacitidine/analogs & derivatives/pharmacology', 'Biomarkers, Tumor/biosynthesis/genetics', 'Cell Aging/genetics', 'Cell Cycle/drug effects/genetics', 'Cell Line, Tumor', 'Cell Movement/genetics', 'CpG Islands', 'DNA Methylation', 'Disease Progression', 'Down-Regulation', 'Exonucleases/biosynthesis/genetics', 'Exoribonucleases', 'Gene Expression', 'Gene Expression Regulation, Neoplastic', 'Gene Silencing', 'Humans', 'Melanoma/genetics/metabolism/pathology', 'Neoplasm Metastasis', 'Neoplasm Proteins/biosynthesis/genetics', 'Phenylbutyrates/pharmacology', 'RNA, Messenger/biosynthesis/genetics']",14-3-3sigma gene silencing during melanoma progression and its role in cell cycle control and cellular senescence.,Mol. Cancer,Schultz et al.,8,,"Schultz, J et al.",2009,,,53,,,,
19654306,"['Animals', 'Cell Aging/genetics', 'Cell Transformation, Neoplastic/genetics', 'Cells, Cultured', 'DNA Damage/genetics', 'E2F Transcription Factors/physiology', 'Gene Knockdown Techniques', 'Gene Silencing/physiology', 'Genes, ras/genetics/physiology', 'Heterochromatin/metabolism', 'Humans', 'Promoter Regions, Genetic', 'Protein Binding', 'Repressor Proteins/genetics/metabolism/physiology', 'Up-Regulation/physiology']",Sin3B expression is required for cellular senescence and is up-regulated upon oncogenic stress.,Cancer Res.,Grandinetti et al.,69,,"Grandinetti, KB et al.",2009,,16,6430-6437,,,,
19732767,"['CDC2 Protein Kinase/genetics/metabolism', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Cell Survival/genetics', 'Cyclin B1/genetics/metabolism', 'Cyclin D1/genetics/metabolism', 'Cyclin-Dependent Kinase Inhibitor Proteins/genetics/metabolism', 'DNA/analysis', 'Epithelial Cells/cytology/metabolism', 'Fibroblasts/cytology/metabolism', 'G1 Phase/genetics', 'Gene Expression/genetics', 'HeLa Cells', 'Humans', 'Phosphorylation/genetics', 'Proteasome Endopeptidase Complex/deficiency/genetics/metabolism', 'RNA, Small Interfering/genetics', 'Resting Phase, Cell Cycle/genetics', 'Retinoblastoma Protein/genetics/metabolism', 'Sulfotransferases/metabolism', 'Trans-Activators/deficiency/genetics/metabolism', 'Transfection', 'Ubiquitinated Proteins/metabolism', 'Up-Regulation/genetics', 'beta-Galactosidase/metabolism', 'cdc25 Phosphatases/genetics/metabolism']",Knockdown of human deubiquitinase PSMD14 induces cell cycle arrest and senescence.,Exp. Cell Res.,Byrne et al.,316,,"Byrne, A et al.",2010,,2,258-271,,,,
19850045,"['Adult', 'Aged', 'Blotting, Western', 'Cell Aging', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Cyclin-Dependent Kinase Inhibitor p27', 'Female', 'Gene Expression Regulation, Enzymologic', 'Gene Expression Regulation, Neoplastic', 'HeLa Cells', 'Histones/metabolism', 'Humans', 'Immunohistochemistry', 'Intracellular Signaling Peptides and Proteins/genetics/metabolism', 'Male', 'Methylation', 'Middle Aged', 'Promoter Regions, Genetic', 'RNA Interference', 'RNA, Messenger/metabolism', 'Retinol-Binding Proteins, Cellular/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Stomach Neoplasms/enzymology/genetics/pathology', 'Up-Regulation']",The histone demethylase RBP2 Is overexpressed in gastric cancer and its inhibition triggers senescence of cancer cells.,Gastroenterology,Zeng et al.,138,,"Zeng, J et al.",2010,,3,981-992,,,,
19898465,"['Animals', 'Cell Aging', 'Cell Transformation, Neoplastic/genetics/metabolism', 'Cells, Cultured', 'Humans', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Mice, Nude', 'Phosphoproteins/deficiency/genetics/metabolism', 'Protein Isoforms/genetics/metabolism', 'Trans-Activators/deficiency/genetics/metabolism', 'Transcription Factors', 'Tumor Suppressor Protein p53/deficiency/metabolism', 'Tumor Suppressor Proteins/genetics/metabolism']",TAp63 induces senescence and suppresses tumorigenesis in vivo.,Nat. Cell Biol.,Guo et al.,11,,"Guo, X et al.",2009,,12,1451-1457,,,,
19927127,"['Cell Aging', 'Cell Line', 'Fibroblasts/cytology/metabolism', 'Gene Expression Regulation', 'Humans', 'Phosphorylation', 'Ploidies', 'Protein Kinases/genetics/metabolism', 'Protein-Serine-Threonine Kinases/genetics/metabolism', 'Repressor Proteins/genetics/metabolism']",Regulation of ploidy and senescence by the AMPK-related kinase NUAK1.,EMBO J.,Humbert et al.,29,,"Humbert, N et al.",2010,,2,376-386,,,,
19951988,"['Cell Aging/physiology', 'Chromones/pharmacology', 'Cyclin-Dependent Kinase Inhibitor p21/biosynthesis/genetics', 'Enzyme Inhibitors/pharmacology', 'Fibroblasts/cytology/metabolism', 'Gene Expression Profiling', 'Humans', 'Morpholines/pharmacology', 'Oligonucleotide Array Sequence Analysis', 'Phosphatidylinositol 3-Kinases/antagonists & inhibitors/metabolism', 'Proto-Oncogene Proteins c-akt/metabolism', 'RNA, Small Interfering/genetics', 'Transcription, Genetic', 'Transfection', 'Tumor Suppressor Protein p53/antagonists & inhibitors/biosynthesis/genetics/metabolism', 'Wnt Proteins/antagonists & inhibitors/biosynthesis/genetics']",WNT16B is a new marker of cellular senescence that regulates p53 activity and the phosphoinositide 3-kinase/AKT pathway.,Cancer Res.,Binet et al.,69,,"Binet, R et al.",2009,,24,9183-9191,,,,
20005840,"['Animals', 'Ataxia Telangiectasia Mutated Proteins', 'Cell Aging', 'Cell Cycle Proteins/metabolism', 'Cell Line, Tumor', 'Cell Nucleus/metabolism', 'DNA Damage', 'DNA-Binding Proteins/metabolism', 'Humans', 'Mice', 'Phosphorylation', 'Protein-Serine-Threonine Kinases/metabolism', 'RNA Interference', 'STAT5 Transcription Factor/metabolism', 'Signal Transduction', 'Suppressor of Cytokine Signaling 1 Protein', 'Suppressor of Cytokine Signaling Proteins/analysis/metabolism/physiology', 'Tumor Suppressor Protein p53/metabolism', 'Tumor Suppressor Proteins/metabolism']",SOCS1 links cytokine signaling to p53 and senescence.,Mol. Cell,Calabrese et al.,36,,"Calabrese, V et al.",2009,,5,754-767,,,,
