"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
701,"unc-10","UNCoordinated","Caenorhabditis elegans","Required for normal locomotion and synaptic transmission","Mutation reduced maximum lifespan 35%.","RIMS2","Shen et al., 2007",17592521,"Rims2","","Rim","unc-10",180990,"Cel.6180","T10A3.1","","",NULL
702,"unc-13","UNCoordinated","Caenorhabditis elegans","Encodes factor involved in synaptic transmission","Mutation results in a 150% life-extension in males.","UNC13B","Gems and Riddle, 2000",10747056,"","","","unc-13",172497,"Cel.16847","ZK524.2","","",NULL
703,"unc-26","UNCoordinated","Caenorhabditis elegans","Encodes synaptojanin, a polyphosphoinositide phosphatase","Mutations in unc-26 extend lifespan by 30-50%.","SYNJ1","Lakowski and Hekimi, 1998",9789046,"Synj1","INP53, INP52","synj","unc-26",178284,"Cel.5211","JC8.10","","",NULL
704,"unc-31","UNCoordinated","Caenorhabditis elegans","May be involved in the insulin receptor signalling pathway","Mutation increases hermaphrodite lifespan by approximately 70% and male lifespan by 150%.","CADPS","Ailion et al., 1999",10377425,"Cadps","","Caps","unc-31",178233,"Cel.12250","ZK897.1","","",NULL
705,"unc-32","UNCoordinated","Caenorhabditis elegans","Vacuolar H+-ATPase V0 sector, subunit a","Mutation extends lifespan.","ATP6V0A1","Gems and Riddle, 2000",10747056,"Atp6v0a1","VPH1","Vha100-1","unc-32",176257,"Cel.5846","ZK637.8","","",NULL
706,"unc-4","UNCoordinated","Caenorhabditis elegans","Encodes a neuronal homeodomain transcription factor","Mutation results in a two-fold life-extension in males.","","Gems and Riddle, 2000",10747056,"","","","",174544,"Cel.14252","F26C11.2","","",NULL
707,"unc-52","UNCoordinated","Caenorhabditis elegans","Basement-membrane (HSPG) core","RNA interference in adulthood extended mean lifespan by 11%.","HSPG2","Curran and Ruvkun, 2007",17411345,"Hspg2","","","unc-52",175126,"Cel.13832","ZC101.2","","",NULL
708,"unc-60","UNCoordinated","Caenorhabditis elegans","Actin depolymerizing factor","RNA interference decreased median lifespan by 19% in daf-2 mutants.","CFL2","Samuelson et al., 2007",18006689,"","","","",178640,"Cel.17967","C38C3.5","","",NULL
709,"unc-62","UNCoordinated","Caenorhabditis elegans","","RNA interference in adulthood extended mean lifespan by 38%.","MEIS1","Curran and Ruvkun, 2007",17411345,"Meis1","","hth","unc-62",178845,"Cel.8113","T28F12.2","","",NULL
710,"unc-64","UNCoordinated","Caenorhabditis elegans","","Mutations in unc-64 and unc-31 result in constitutive dauer formation and increase lifespan, which is suppressed by mutations in daf-16.","STX1A","Ailion et al., 1999",10377425,"Stx1a","SSO1, SSO2","Syx1A","unc-64",176743,"Cel.18377","F56A8.7","","",NULL
711,"unc-76","UNCoordinated","Caenorhabditis elegans","Encodes FEZ family protein involved in axon-axon interactions","Allele extends male lifespan by about 50%.","FEZ2","Gems and Riddle, 2000",10747056,"Fez2","","Unc-76","unc-76",180014,"Cel.8841","C01G10.11","","",NULL
712,"unc-83","UNCoordinated","Caenorhabditis elegans","","RNA interference extends lifespan.","CENPF","Hamilton et al., 2005",15998808,"","","","",179033,"Cel.17239","W01A11.3","","",NULL
713,"URE2","Ure2p","Saccharomyces cerevisiae","Regulates activity of the nitrogen-responsive transcription factor Gln3","Deletion increased mean replicative lifespan by 20%.","","Kaeberlein et al., 2005",16293764,"","URE2","","",855492,"","YNL229C","","",NULL
714,"UTH1","Uth1p","Saccharomyces cerevisiae","","Mutation increases lifespan by approximately 15% and increases stress resistance.","","Kennedy et al., 1995",7859289,"","UTH1","","",853916,"","YKR042W","","",NULL
715,"vha-6","Vacuolar H ATPase","Caenorhabditis elegans","Vacuolar H ATPase","RNA interference in adulthood extended mean lifespan by 24%.","ATP6V0A4","Curran and Ruvkun, 2007",17411345,"","","","",174743,"Cel.8017","VW02B12L.1","","",NULL
716,"VhaSFD","Vacuolar H+-ATPase SFD subunit","Drosophila melanogaster","Regulatory subunit of the vacuolar ATPase proton pump","Overexpression results in a 5-10% increase in mean lifespan.","ATP6V1H","Landis et al., 2003",12620118,"Atp6v1h","","VhaSFD","vha-15",34997,"Dm.7517","FBgn0027779","","144191_at ATP6V1H CG17332 Dmel\CG17332 V-ATPase vh",NULL
717,"vit-5","VITellogenin structural genes (yolk protein genes)","Caenorhabditis elegans","Predicted lipoprotein","RNA interference extends lifespan.","CENPE","Murphy et al., 2003",12845331,"","","","",180630,"Cel.16883","C04F6.1","","",NULL
718,"vit-2","VITellogenin structural genes (yolk protein genes)","Caenorhabditis elegans","","RNA interference extends lifespan.","BMPER","Murphy et al., 2003",12845331,"","","","",180781,"Cel.16869","C42D8.2","","",NULL
719,"vps-16","related to yeast Vacuolar Protein Sorting factor","Caenorhabditis elegans","Vesicular docking and fusion","RNA interference decreased median lifespan by 21% in wild type animals and 38% in daf-2 mutants.","PTPRA","Samuelson et al., 2007",18006689,"","","","vps-16",175913,"Cel.17115","C05D11.2","","",NULL
720,"vps-33.1","Vacuolar sorting protein","Caenorhabditis elegans","Vesicular docking and fusion","RNA interference decreased median lifespan 30% in daf-2 mutants and 15% in a wild-type background.","VPS33A","Samuelson et al., 2007",18006689,"","","","",176221,"Cel.10953","B0303.9","","",NULL
721,"vrk-1","Vaccinia Related Kinase","Caenorhabditis elegans","Signalling","RNA interference decreased median lifespan by 36% in wild type animals, 54% in a daf-2 background and 12% in daf-2/daf-16 double mutants.","VRK1","Samuelson et al., 2007",18006689,"Vrk1","","ball","vrk-1",174004,"Cel.4904","F28B12.3","","",NULL
722,"nol-5","NucleOLar protein","Caenorhabditis elegans","Ribosome biogenesis","RNA interference in adulthood extended mean lifespan by 15%.","NOP5/NOP58","Chen et al., 2007",17521386,"","","","",171901,"Cel.17603","W01B11.3","","",NULL
723,"W03G1.5","Protein W03G1.5","Caenorhabditis elegans","","RNA interference increased mean lifespan by 54%.","RPTN","Kim et al., 2007",17608836,"","","","",189167,"Cel.12215","W03G1.5","","",NULL
724,"lpr-5","Protein LPR-5","Caenorhabditis elegans","","RNA interference decreased median lifespan by 16% in wild type animals, 72% in a daf-2 background and 29% in daf-2/daf-16 double mutants.","C6orf205","Samuelson et al., 2007",18006689,"","","","",181297,"Cel.8133","W04G3.2","","",NULL
725,"dct-11","DAF-16/FOXO Controlled, germline Tumor affecting","Caenorhabditis elegans","Membrane transporter","W06B11.3 stimulates the growth of gld-1 tumors. RNA interference increased mean lifespan up to 19% in a gld-1 mutant background and reduced mean lifespan by 10% in a wild-type background.","LAPTM4B","Pinkston-Gosse and Kenyon, 2007",17934462,"","","","",189237,"Cel.19818","W06B11.3","","",NULL
726,"sbds-1","Shwachman-Bodian-Diamond Syndrome protein homolog","Caenorhabditis elegans","RNA metabolism","RNA interference decreased median lifespan by 24% in daf-2 mutants.","SBDS","Samuelson et al., 2007",18006689,"","","","",175218,"Cel.17261","W06E11.4","","",NULL
727,"nol-1","NucleOLar protein","Caenorhabditis elegans","RNA methylase","RNA interference in adulthood extended mean lifespan by 31%.","NOL1","Curran and Ruvkun, 2007",17411345,"","","","",173437,"Cel.34845","W07E6.1","","",NULL
728,"dct-15","DAF-16/FOXO Controlled, germline Tumor affecting","Caenorhabditis elegans","Plasma membrane transpor","W08D2.3 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan up to 10% in wild type animals and 9% in gld-1 mutants.","MFSD4","Pinkston-Gosse and Kenyon, 2007",17934462,"","","","",189289,"Cel.12209","W08D2.3","","",NULL
729,"CELE_W09C5.8","Protein W09C5.8","Caenorhabditis elegans","Cytochrome c oxidase, subunit IV/COX5b","RNA interference extends lifespan about 60%.","COX4I1","Lee et al., 2003",12447374,"","","CG10664","W09C5.8",173237,"Cel.18305","W09C5.8","","",NULL
730,"mrpl-12","Protein MRPL-12","Caenorhabditis elegans","Possible mitochondrial ribosomal protein","RNA interference increased mean lifespan by 51%.","MRPL12","Kim et al., 2007",17608836,"Mrpl12","MNP1","mRpL12","W09D10.3",176495,"Cel.9918","W09D10.3","","",NULL
731,"mecr-1","Protein MECR-1","Caenorhabditis elegans","Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)","RNA interference extends lifespan.","","Hamilton et al., 2005",15998808,"Mecr","ETR1","CG16935","W09H1.5",174963,"Cel.14175","W09H1.5","","",NULL
732,"wip-1","Wiskott-Aldrich syndrome protein (WASP)-Interacting Protein and gene assignment","Caenorhabditis elegans","","RNA interference decreased median lifespan by 33% in daf-2 mutants.","WIPF3","Samuelson et al., 2007",18006689,"","","","wip-1",175681,"Cel.22683","R144.4","","",NULL
733,"wwp-1","WW domain Protein (E3 ubiquitin ligase)","Caenorhabditis elegans","Ubiquitin-protein ligase","RNA interference decreased median lifespan by 9% in wild type animals and 24% in daf-2 mutants.","WWP1","Samuelson et al., 2007",18006689,"Wwp1","","Su(dx)","wwp-1",171647,"Cel.7528","Y65B4BR.4","","",NULL
734,"Xpa","Xeroderma pigmentosum, complementation group A","Mus musculus","Nucleotide-excision repair","Mutant mice exhibit symptoms of premature ageing, including reduced lifespan, osteoporosis and kyphosis, osteosclerosis, early greying, cachexia, and infertility.","","de Boer et al., 2002",11950998,"","","","",22590,"Mm.247036","ENSMUSG00000028329","Q64267","Xpac AI573865",NULL
735,"Xrcc5","X-ray repair complementing defective repair in Chinese hamster cells 5","Mus musculus","Double strand break-repair protein","Deletion results in signs of premature ageing such as osteopenia, atrophic skin, hepatocellular degeneration, and age specific mortality.","XRCC5","Vogel et al., 1999",10485901,"Xrcc5","YKU80","","",22596,"Mm.246952","ENSMUSG00000026187","P27641","Ku80 Ku86 AI314015",NULL
736,"Xrcc6","X-ray repair complementing defective repair in Chinese hamster cells 6","Mus musculus","The double strand break-repair protein","XRCC5 and XRCC6 double knockout mice show decreased lifespan and signs of premature ageing without increase cancer incidence.","XRCC6","Li et al., 2007",17875923,"Xrcc6","YKU70","Irbp","cku-70",14375,"Mm.288809","ENSMUSG00000022471","P23475","Ku70 70kDa G22p1",NULL
737,"sams-2","","Caenorhabditis elegans","","RNA interference in adulthood extended mean lifespan by 27%.","MAT1A","Curran and Ruvkun, 2007",17411345,"","","","",178446,"Cel.30553",NULL,"","",NULL
738,"dct-13","DAF-16/FOXO Controlled, germline Tumor affecting","Caenorhabditis elegans","CCCH-type zinc-finger protein","Y116A8C.17 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 23% and maximum lifespan by 20% in wild type animals. It also increased mean lifespan by 21% in daf-16 mutants and 13% in gld-1 mutants.","ZFP36L1","Pinkston-Gosse and Kenyon, 2007",17934462,"","","","",178476,"Cel.11657","Y116A8C.17","","",NULL
739,"Y37D8A.12","Protein Y37D8A.12","Caenorhabditis elegans","","RNA interference extends lifespan.","PCLO","Hamilton et al., 2005",15998808,"","","","W03G9.3, K01G5.3, Y37D8A.12",176705,"Cel.23386","Y37D8A.12","","",NULL
740,"mrps-10","Protein MRPS-10","Caenorhabditis elegans","Could be a mitochondrial ribosomal protein","RNA interference increased mean lifespan by 39%.","MRPS10","Kim et al., 2007",17608836,"Mrps10","","mRpS10, CG34316","Y37D8A.18",189618,"Cel.8687","Y37D8A.18","","",NULL
741,"pnc-1","Pyrazinamidase and NiCotinamidase","Caenorhabditis elegans","Nicotinamidase","Knockouts showed a 30% decrease in maximum lifespan. Overexpression of pnc-1 increased adult survival under oxidative stress but did not extend the lifespan.","","van der Horst et al., 2007",17335870,"","","","",176833,"Cel.12094","Y38C1AA.3","","",NULL
742,"dct-14","DAF-16/FOXO Controlled, germline Tumor affecting","Caenorhabditis elegans","Germ cell apoptosis","Y38H6C.3 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 19% in wild type animals, 21% in daf-16 mutants and 13% in gld-1 mutants.","SPATA3","Pinkston-Gosse and Kenyon, 2007",17934462,"","","","",189684,"Cel.1864","Y38H6C.3","","",NULL
743,"CELE_Y39F10C.1","Protein Y39F10C.1","Caenorhabditis elegans","","RNA interference extends lifespan.","VMO1","Hamilton et al., 2005",15998808,"","","","",189761,"Cel.28134","Y39F10C.1","","",NULL
744,"CELE_Y39G10AR.8","Protein Y39G10AR.8","Caenorhabditis elegans","Translation","RNA interference in adulthood extended mean lifespan by 24%.","EIF2S3","Chen et al., 2007",17521386,"Eif2s3y","GCD11","","Y39G10AR.8",171792,"Cel.8138","Y39G10AR.8","","",NULL
745,"Y39H10A.6","Protein Y39H10A.6","Caenorhabditis elegans","WD40 repeat-containing protein","RNA interference extends lifespan.","WDR26","Hansen et al., 2005",16103914,"","","","",178791,"Cel.30560","Y39H10A.6","","",NULL
746,"mvk-1","Y42G9A.4b","Caenorhabditis elegans","Mevalonate kinase","RNA interference decreased median lifespan by 14% in wild type animals and 33% in daf-2 mutants.","MVK","Samuelson et al., 2007",18006689,"Mvk","ERG12","","Y42G9A.4",175863,"Cel.6499","Y42G9A.4","","",NULL
747,"Y43F4B.7","Protein Y43F4B.7","Caenorhabditis elegans","Amino acid transporter","RNA interference increased mean lifespan by 11%.","SLC36A1","Kim et al., 2007",17608836,"","AVT4","CG6327","T27A1.5, Y43F4B.7",259544,"Cel.19937","Y43F4B.7","","",NULL
748,"CELE_Y43F8B.12","Protein Y43F8B.12","Caenorhabditis elegans","Helicase-like transcription factor HLTF/DNA helicase RAD5, DEAD-box superfamily","RNA interference extends lifespan.","","Hamilton et al., 2005",15998808,"","","","",189875,"Cel.33115","Y43F8B.12","","",NULL
749,"Y43H11AL.2","Protein Y43H11AL.2","Caenorhabditis elegans","Predicted membrane protein","RNA interference extends lifespan.","PQLC2","Hamilton et al., 2005",15998808,"Pqlc2","YOL092W","","Y43H11AL.2",3565323,"Cel.32814","Y43H11AL.2","","",NULL
750,"Y46G5A.6","","Caenorhabditis elegans","","RNA interference in adulthood shortened the extended lifespan of daf-2(mu150) mutants. Only a negligible or small reduction in the lifespan of wild-type worms was observed in knockouts.","ASCC3L1","Ghazi et al., 2007",17392428,"","","","",189958,"","","","",NULL
751,"Y46H3C.6","Protein Y46H3C.6","Caenorhabditis elegans","","RNA interference extends lifespan.","MYT1","Hamilton et al., 2005",15998808,"","","","",189968,"Cel.1718","Y46H3C.6","","",NULL
752,"aakb-2","AMP-Activated Kinase Beta subunit","Caenorhabditis elegans","Protein involved in Snf1 protein kinase complex assembly","RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.","PRKAB2","Ha et al., 2006",16673436,"","","","",176552,"Cel.9773","Y47D3A.15","","",NULL
753,"spg-7","human SPG (spastic paraplegia)","Caenorhabditis elegans","AAA+-type ATPase peptidase","RNA interference in adulthood resulted in a 23% increase in mean lifespan.","AFG3L2","Curran and Ruvkun, 2007",17411345,"","","","",171915,"Cel.16460","Y47G6A.10","","",NULL
754,"CELE_Y47G6A.18","Protein Y47G6A.18","Caenorhabditis elegans","Golgi phosphoprotein 3","RNA interference decreased median lifespan by 28% in a daf-2 background and 12% in daf-2/daf-16 double mutants.","GOLPH3","Samuelson et al., 2007",18006689,"Golph3","VPS74","l(2)s5379","Y47G6A.18",171919,"Cel.24314","Y47G6A.18","","",NULL
755,"Y48G1A.4","Protein Y48G1A.4","Caenorhabditis elegans","Ribosome biogenesis","RNA interference in adulthood extended mean lifespan by 21%.","NOL14","Chen et al., 2007",17521386,"Nop14","NOP14","l(3)07882","Y48G1A.4",171622,"Cel.16430","Y48G1A.4","","",NULL
756,"CELE_Y53F4B.23","Protein Y53F4B.23","Caenorhabditis elegans","","RNA interference extends lifespan.","UBN1","Hamilton et al., 2005",15998808,"","","","",190220,"Cel.13938","Y53F4B.23","","",NULL
757,"CELE_Y54E10BR.4","Protein Y54E10BR.4","Caenorhabditis elegans","Ribonuclease","RNA interference in adulthood extended mean lifespan by 15%.","NOB1","Curran and Ruvkun, 2007",17411345,"Nob1","NOB1","CG2972","Y54E10BR.4",171874,"Cel.5524","Y54E10BR.4","","",NULL
758,"Y54E5A.7","Protein Y54E5A.7","Caenorhabditis elegans","SPRY domain-containing proteins","RNA interference extends lifespan.","RANBP10, RANBP9","Hansen et al., 2005",16103914,"","","","",173332,"Cel.5150","Y54E5A.7","","",NULL
759,"Y55F3AM.3","Protein Y55F3AM.3","Caenorhabditis elegans","Transcriptional coactivator","RNA interference decreased median lifespan by 9% in wild type animals and 21% in daf-2 mutants.","RBM39","Samuelson et al., 2007",18006689,"Rbm39","","CG11266","Y55F3AM.3",176922,"Cel.22967","Y55F3AM.3","","",NULL
760,"Y56A3A.19","Protein Y56A3A.19","Caenorhabditis elegans","Subunit of the NADH:ubiquinone oxidoreductase complex","RNA interference in adulthood extended mean lifespan by 21%.","NDUFAB1","Curran and Ruvkun, 2007",17411345,"","","","Y56A3A.19",176622,"Cel.9660","Y56A3A.19","","",NULL
761,"Y56A3A.9","Y56A3A.9","Caenorhabditis elegans","Reverse transcriptase","RNA interference extends lifespan.","","Hamilton et al., 2005",15998808,"","","","",190326,"","","","",NULL
762,"dct-12","DAF-16/FOXO Controlled, germline Tumor affecting","Caenorhabditis elegans","G-protein-coupled receptor","Y57A10C.7 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 14% in wild type animals, 16% in daf-16 mutants and 12% in gld-1 mutants.","ADORA3","Pinkston-Gosse and Kenyon, 2007",17934462,"","","","",190351,"Cel.13870","Y57A10C.7","","",NULL
763,"E01B7.1","Protein E01B7.1","Caenorhabditis elegans","Ubiquitin C-terminal hydrolase","RNA interference decreased median lifespan by 59% in daf-2 mutants.","USP8","Samuelson et al., 2007",18006689,"","","","",180175,"","","","",NULL
764,"vps-20","Protein VPS-20","Caenorhabditis elegans","Endosomal vesicular trafficking","RNA interference decreased median lifespan by 71% in a daf-2 background and 35% in daf-2/daf-16 double mutants.","CHMP6","Samuelson et al., 2007",18006689,"Chmp6","VPS20","Vps20","Y65B4A.3",171654,"Cel.16344","Y65B4A.3","","",NULL
765,"Y65B4BR.5","Protein Y65B4BR.5","Caenorhabditis elegans","","RNA interference in adulthood extended mean lifespan by 17%.","NACA","Curran and Ruvkun, 2007",17411345,"","EGD2","Nacalpha","Y65B4BR.5",171646,"Cel.7722","Y65B4BR.5","","",NULL
766,"fbxa-220","F-box A protein","Caenorhabditis elegans","","RNA interference increased mean lifespan by 25%.","","Kim et al., 2007",17608836,"","","","",190489,"Cel.28362","Y66A7A.1","","",NULL
767,"CELE_Y69A2AR.19","Protein Y69A2AR.19","Caenorhabditis elegans","Protein tyrosine phosphatase","RNA interference increased mean lifespan by 19%.","PTPRE","Kim et al., 2007",17608836,"","","","",177036,"Cel.5333","Y69A2AR.19","","",NULL
768,"pghm-1","Protein PGHM-1","Caenorhabditis elegans","Peptidylglycine alpha-amidating monooxygenase","RNA interference extends lifespan.","PAM","Hansen et al., 2005",16103914,"","","Phm","Y71G12B.4",171746,"Cel.23148","Y71G12B.4","","",NULL
769,"Y71H2AR.2","Protein Y71H2AR.2","Caenorhabditis elegans","Cysteine proteinase Cathepsin L","RNA interference extends lifespan.","CTSL2","Hansen et al., 2005",16103914,"","","","",190615,"Cel.28419","Y71H2AR.2","","",NULL
770,"CELE_Y75B8A.13","Protein Y75B8A.13","Caenorhabditis elegans","","RNA interference extends lifespan.","DSPP","Hamilton et al., 2005",15998808,"","","","",176648,"Cel.54","Y75B8A.13","","",NULL
771,"CELE_Y75B8A.33","Protein Y75B8A.33","Caenorhabditis elegans","","RNA interference extends lifespan.","","Hamilton et al., 2005",15998808,"","","","",190713,"Cel.38","Y75B8A.33","","",NULL
772,"acs-5","fatty Acid CoA Synthetase family","Caenorhabditis elegans","Long-chain acyl-coA synthetase","RNA interference increased mean lifespan by 52%.","ACSL1","Kim et al., 2007",17608836,"","","","",176785,"Cel.33","Y76A2B.3","","",NULL
773,"Y77E11A.7","Y77E11A.7b","Caenorhabditis elegans","","RNA interference decreased median lifespan by 24% in wild type animals, 40% in a daf-2 background and 13% in daf-2/daf-16 double mutants.","SCLY","Samuelson et al., 2007",18006689,"","","","",176951,"Cel.7406","Y77E11A.7","","",NULL
774,"YBR238C","hypothetical protein","Saccharomyces cerevisiae","","Deletion increased mean replicative lifespan by 30%.","","Kaeberlein et al., 2005",16293764,"","YBR238C","","",852540,"","YBR238C","","",NULL
775,"MTC4","Mtc4p","Saccharomyces cerevisiae","","Deletion increased mean replicative lifespan by 30%.","","Kaeberlein et al., 2005",16293764,"","YBR255W","","",852557,"","YBR255W","","",NULL
776,"YKU70","Subunit of the telomeric Ku complex (Yku70p-Yku80p)","Saccharomyces cerevisiae","","Mutants had a shorter lifespan.","XRCC6","Kaeberlein et al., 1999",10521401,"Xrcc6","YKU70","Irbp","cku-70",855328,"","YMR284W","","HDF1 NES24",NULL
777,"YKU80","Subunit of the telomeric Ku complex (Yku70p-Yku80p)","Saccharomyces cerevisiae","","Mutants had a shorter lifespan.","XRCC5","Kaeberlein et al., 1999",10521401,"Xrcc5","YKU80","","",855132,"","YMR106C","","HDF2",NULL
778,"yars-1","YARS-1","Caenorhabditis elegans","tRNA synthetase","RNA interference increased mean lifespan by 55%.","YARS2","Kim et al., 2007",17608836,"Yars2","MSY1","CG16912","yrs-1",177237,"","K08F11.4","","",NULL
779,"ZC132.3","Protein ZC132.3","Caenorhabditis elegans","","RNA interference in adulthood extended mean lifespan by 26%.","","Curran and Ruvkun, 2007",17411345,"","","","",178827,"Cel.1417","ZC132.3","","",NULL
780,"nstp-3","Protein NSTP-3","Caenorhabditis elegans","UDP-galactose transporter","RNA interference decreased median lifespan by 29% in wild type animals, 41% in a daf-2 background and 25% in daf-2/daf-16 double mutants.","SLC35A3","Samuelson et al., 2007",18006689,"","","","",191128,"Cel.1391","ZC250.3","","",NULL
781,"ZDS1","Zds1p","Saccharomyces cerevisiae","Transcriptional silencing","Deletion increases lifespan by 37% in a Sir3p-dependent manner.","","Roy and Runge, 2000",10662670,"","ZDS2, ZDS1","","",855316,"","YMR273C","","CES1 CKM1 NRC1 OSS1",NULL
782,"zfp-1","Zinc Finger Protein","Caenorhabditis elegans","zfp-1 encodes a leucine zipper, zinc finger, and PHD/LAP domain","RNA interference shortened lifespan.","MLLT10","Oh et al., 2006",16380712,"","","","",176237,"Cel.22669","F54F2.2","","",NULL
783,"ZK1127.5","Protein ZK1127.5","Caenorhabditis elegans","RNA cyclase","RNA interference in adulthood extended mean lifespan by 24%.","RCL1","Curran and Ruvkun, 2007",17411345,"Rcl1","RCL1","Rtc1","ZK1127.5",174151,"Cel.13718","ZK1127.5","","",NULL
784,"scl-20","SCP-Like extracellular protein","Caenorhabditis elegans","Promotes apoptosis","ZK384.2 appears to inhibit the growth of gld-1 tumours. RNA interference reduced mean lifespan up to 18% in wild type animals, 15% in daf-2 mutants and 28% in daf-2/gld-1 mutants.","GLIPR1","Pinkston-Gosse and Kenyon, 2007",17934462,"","","","",191309,"Cel.1294","ZK384.2","","",NULL
785,"sid-2","Systemic RNA Interference Defective","Caenorhabditis elegans","","RNA interference extends lifespan.","OTOG","Hamilton et al., 2005",15998808,"","","","",176805,"Cel.9551","ZK520.2","","",NULL
786,"ZK686.2","Protein ZK686.2","Caenorhabditis elegans","RNA helicase","RNA interference in adulthood extended mean lifespan by 24%.","DDX51","Curran and Ruvkun, 2007",17411345,"","","","",176088,"Cel.9524","ZK686.2","","",NULL
787,"ZK809.3","Protein ZK809.3","Caenorhabditis elegans","NADH:ubiquinone oxidoreductase","RNA interference increased mean lifespan by 100%.","NDUFB6","Kim et al., 2007",17608836,"","","","",178096,"Cel.6565","ZK809.3","","",NULL
788,"clec-186","C-type LECtin","Caenorhabditis elegans","C-type lectin","RNA interference extends lifespan.","FNDC1","Hamilton et al., 2005",15998808,"","","","",178238,"Cel.11564","ZK896.7","","",NULL
789,"Zmpste24","zinc metallopeptidase, STE24 homolog (S. cerevisiae)","Mus musculus","Metalloproteinase involved in the maturation of lamin A (Lmna)","Knockout mice exhibit nuclear architecture abnormalities and signs of accelerated ageing.","ZMPSTE24","Varela et al., 2005",16079796,"Zmpste24","STE24","CG9000","fce-1",230709,"Mm.34399","ENSMUSG00000043207","Q80W54","MADB FACE1 STE24 Face-1 Ste24p D030046F19 A530043O",NULL
811,"Agtr1a","Angiotensin II receptor, type 1a","Mus musculus",NULL,NULL,NULL,"",19197138,NULL,NULL,NULL,NULL,11607,NULL,"ENSMUSG00000049115",NULL,"AT1 AG2S AT1a AT2R1 Agtr1 AT2R1A Agtr-1a AI551199 ",NULL
812,"Apoe","Apolipoprotein E","Mus musculus",NULL,NULL,NULL,"",11726538,NULL,NULL,NULL,NULL,11816,NULL,"ENSMUSG00000002985",NULL,"AI255918",NULL
813,"Cisd2","CDGSH iron sulfur domain 2","Mus musculus",NULL,NULL,NULL,"",19451219,NULL,NULL,NULL,NULL,67006,NULL,"ENSMUSG00000028165",NULL,"Zcd2 Miner1 Noxp70 AI848398 1500009M05Rik 1500026J",NULL
814,"Clock","Circadian locomotor output cycles kaput","Mus musculus",NULL,NULL,NULL,"",21149897,NULL,NULL,NULL,NULL,12753,NULL,"ENSMUSG00000029238",NULL,"KAT13D bHLHe8 mKIAA0334 5330400M04Rik",NULL
815,"Dmd","Dystrophin, muscular dystrophy","Mus musculus",NULL,NULL,NULL,"",17360850,NULL,NULL,NULL,NULL,13405,NULL,"ENSMUSG00000045103",NULL,"dys mdx pke Dp71 Dp427 DXSmh7 DXSmh9",NULL
816,"Eef1e1","Eukaryotic translation elongation factor 1 epsilon 1","Mus musculus",NULL,NULL,NULL,"",20726853,NULL,NULL,NULL,NULL,66143,NULL,"ENSMUSG00000001707",NULL,"1110003A02Rik",NULL
817,"Eps8","Epidermal growth factor receptor pathway substrate 8","Mus musculus",NULL,NULL,NULL,"",20209148,NULL,NULL,NULL,NULL,13860,NULL,"ENSMUSG00000015766",NULL,"AW261790",NULL
818,"Fn1","Fibronectin 1","Mus musculus",NULL,NULL,NULL,"",12847088,NULL,NULL,NULL,NULL,14268,NULL,"ENSMUSG00000026193",NULL,"Fn Fn-1 E330027I09",NULL
819,"Hnrnpd","heterogeneous nuclear ribonucleoprotein D","Mus musculus","","","","",22633954,"","","","",11991,"","ENSMUSG00000000568","","Auf1 Hnrpd",NULL
820,"Htt","Huntingtin","Mus musculus",NULL,NULL,NULL,"",20140187,NULL,NULL,NULL,NULL,15194,NULL,"ENSMUSG00000029104",NULL,"Hd Hdh IT15 AI256365 C430023I11Rik",NULL
821,"Jund","Jun proto-oncogene related gene d","Mus musculus",NULL,NULL,NULL,"",18249171,NULL,NULL,NULL,NULL,16478,NULL,"ENSMUSG00000071076",NULL,"Jund1",NULL
822,"Kcna3","Potassium voltage-gated channel, shaker-related subfamily, member 3","Mus musculus",NULL,NULL,NULL,"",18542083,NULL,NULL,NULL,NULL,16491,NULL,"ENSMUSG00000047959",NULL,"Mk-3 Kv1.3 Kca1-3",NULL
823,"Pparg","Peroxisome proliferator activated receptor gamma","Mus musculus","","","","",19997628,"","","","",19016,"","ENSMUSG00000000440","","Nr1c3 PPARgamma PPAR-gamma PPARgamma2 PPAR-gamma2",NULL
824,"Sirt7","Sirtuin 7 (silent mating type information regulation 2, homolog) 7 (S. cerevisiae)","Mus musculus",NULL,NULL,NULL,"",18239138,NULL,NULL,NULL,NULL,209011,NULL,"ENSMUSG00000025138",NULL,"",NULL
825,"Slc13a1","Solute carrier family 13 (sodium/sulfate symporters), member 1","Mus musculus",NULL,NULL,NULL,"",21651971,NULL,NULL,NULL,NULL,55961,NULL,"ENSMUSG00000029700",NULL,"Nas1 NaSi-1 AI314066 AI987826",NULL
826,"Socs2","Suppressor of cytokine signaling 2","Mus musculus","","","","",19424848,"","","","",216233,"","ENSMUSG00000020027","","hg JAB CIS2 Cish2 SSI-2 SOCS-2 AI527257 AW108012 8",NULL
