"id","gene_id","biblio_id","lifespan_effect","phenotype_description","longevity_influence","max_lifespan_change","max_lifespan_change_desc","avg_lifespan_change","avg_lifespan_change_desc","method","notes","hidden"
1571,1371,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1572,1372,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1573,1373,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1574,1374,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1575,1375,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1576,1376,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1577,1377,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion","Values taken from Arie's file",0
1578,1378,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1579,1379,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1580,1380,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1581,1381,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1582,1382,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion","Values taken from Arie's file",0
1583,1383,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1584,1167,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1585,1286,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1586,1384,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1587,1287,419,"decrease","Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%","fitness",NULL,NULL,50,"Mean chronological lifespan is 15%-50% lower.","Deletion ","Values taken from Arie's file",0
1588,1385,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1589,1386,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1590,1387,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1591,1388,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1592,1389,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1593,1390,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1594,1391,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1595,1380,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1596,1392,420,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion ","Values taken from Arie's file",0
1597,1393,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1598,1394,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1599,1395,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1600,1396,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1601,1073,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1602,1397,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1603,1398,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1604,1399,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1605,1400,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1606,1401,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1607,1135,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1608,1402,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1609,1403,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1610,1404,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1611,1405,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1612,1406,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1613,1407,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1614,1408,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1615,1409,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1616,1410,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1617,1411,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1618,1412,418,"increase","Mean chronological lifespan increased in the a strain ","anti",NULL,NULL,NULL,NULL,"Deletion","Values taken from Arie's file",0
1619,1413,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1620,1414,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1621,1415,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1622,1416,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1623,1417,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1624,1350,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1625,1418,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion ","Values taken from Arie's file",0
1626,1419,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1627,1420,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1628,1421,421,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1629,1422,422,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1630,1141,422,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1631,1423,422,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1632,1424,422,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1633,1425,422,"decrease","Replicative lifespan decreased by 20% in the alpha strain ","fitness",NULL,NULL,20,"Replicative lifespan is 20% lower.","Deletion","Values taken from Arie's file",0
1634,1426,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1635,1427,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1636,1428,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1637,1425,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1638,1429,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1639,1430,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1640,1431,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion ","Values taken from Arie's file",0
1641,1432,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1642,1433,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1643,1434,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1644,1435,420,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1645,1436,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1646,1437,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1647,1438,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1648,1439,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1649,1130,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1650,1431,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion ","Values taken from Arie's file",0
1651,1440,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion ","Values taken from Arie's file",0
1652,1441,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion ","Values taken from Arie's file",0
1653,1442,421,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1654,1443,422,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1655,1444,422,"decrease","Replicative lifespan decreased by 30% in the alpha strain ","fitness",NULL,NULL,30,"Replicative lifespan is 30%  lower.","Deletion","Values taken from Arie's file",0
1656,1445,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1657,1446,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1658,1447,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1659,1448,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1660,1449,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion ","Values taken from Arie's file",0
1661,1383,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion ","Values taken from Arie's file",0
1662,1450,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1663,1192,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1664,1451,420,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1665,1452,421,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1666,1453,421,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1667,1454,421,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1668,1455,421,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1669,1456,421,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1670,1457,421,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1671,1458,421,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1672,1459,422,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1673,1460,422,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1674,1461,422,"increase","Replicative lifespan increased by 20% in the alpha strain ","anti",NULL,NULL,20,"Replicative lifespan is 20%  higher.","Deletion","Values taken from Arie's file",0
1675,1304,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1676,1045,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1677,1462,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1678,1463,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1679,1078,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1680,1446,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1681,1464,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1682,1104,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1683,1465,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion ","Values taken from Arie's file",0
1684,1466,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1685,1467,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1686,1468,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1687,1469,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1688,1404,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1689,1470,419,"decrease","Mean chronological lifespan decreased in the a strain by more than 50%","fitness",NULL,NULL,50,"Mean chronological lifespan is more than 50% lower.","Deletion","Values taken from Arie's file",0
1690,1299,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1691,1471,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1692,1472,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1693,1473,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1694,1474,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1695,1475,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1696,1476,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion ","Values taken from Arie's file",0
1697,1477,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion ","Values taken from Arie's file",0
1698,1478,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion ","Values taken from Arie's file",0
1699,1479,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1700,1480,420,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1701,1481,421,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1702,1372,421,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1703,1482,421,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1704,1483,421,"decrease","Replicative lifespan decreased by 50% in the alpha strain ","fitness",NULL,NULL,50,"Replicative lifespan is 50%  lower.","Deletion","Values taken from Arie's file",0
1705,1484,420,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25% lower.","Deletion","Values taken from Arie's file",0
1706,1485,420,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1707,1486,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1708,1487,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1709,1488,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1710,1047,420,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1711,1489,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1712,1490,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1713,1491,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1714,1492,420,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1715,1493,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1716,1331,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40% lower.","Deletion ","Values taken from Arie's file",0
1717,1494,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1718,1495,420,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40% lower.","Deletion ","Values taken from Arie's file",0
1719,1295,420,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25% lower.","Deletion ","Values taken from Arie's file",0
1720,1471,421,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1721,1486,421,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1722,1047,421,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1723,1496,421,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1724,1497,421,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1725,1498,421,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1726,1499,421,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1727,1500,421,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
1728,1501,421,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1729,1502,421,"decrease","Replicative lifespan decreased by 40% in the alpha strain ","fitness",NULL,NULL,40,"Replicative lifespan is 40%  lower.","Deletion","Values taken from Arie's file",0
1730,1503,422,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25% lower.","Deletion","Values taken from Arie's file",0
1731,1504,422,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25% lower.","Deletion ","Values taken from Arie's file",0
1732,1500,422,"decrease","Replicative lifespan decreased by 25% in the alpha strain ","fitness",NULL,NULL,25,"Replicative lifespan is 25%  lower.","Deletion","Values taken from Arie's file",0
